Document ID,Total Links,Link,Download Path,Status,Code
Document ID,Total Links,Link,Download Path,Status,Code
FTC-2022-0053-0139,0,1,downloads/FTC-2022-0053-0138_2.pdf,Skipped,200
FTC-2022-0053-0140,0,1,downloads/FTC-2022-0053-0138_2.pdf,Skipped,200
FTC-2022-0053-0141,1,0,downloads/FTC-2022-0053-0141_1.pdf,Success,
FTC-2022-0053-0142,1,0,downloads/FTC-2022-0053-0142_1.pdf,Success,
FTC-2022-0053-0143,0,0,downloads/FTC-2022-0053-0142_1.pdf,Skipped,200
FTC-2022-0053-0144,1,0,downloads/FTC-2022-0053-0144_1.pdf,Success,
FTC-2022-0053-0145,0,0,downloads/FTC-2022-0053-0144_1.pdf,Skipped,200
FTC-2022-0053-0146,0,0,downloads/FTC-2022-0053-0144_1.pdf,Skipped,200
FTC-2022-0053-0147,0,0,downloads/FTC-2022-0053-0144_1.pdf,Skipped,200
FTC-2022-0053-0148,0,0,downloads/FTC-2022-0053-0144_1.pdf,Skipped,200
FTC-2022-0053-0149,0,0,downloads/FTC-2022-0053-0144_1.pdf,Skipped,200
FTC-2022-0053-0150,0,0,downloads/FTC-2022-0053-0144_1.pdf,Skipped,200
FTC-2022-0053-0151,1,0,downloads/FTC-2022-0053-0151_1.pdf,Success,
FTC-2022-0053-0152,0,0,downloads/FTC-2022-0053-0151_1.pdf,Skipped,200
FTC-2022-0053-0153,0,0,downloads/FTC-2022-0053-0151_1.pdf,Skipped,200
FTC-2022-0053-0154,1,0,downloads/FTC-2022-0053-0154_1.pdf,Success,
FTC-2022-0053-0155,0,0,downloads/FTC-2022-0053-0154_1.pdf,Skipped,200
FTC-2022-0053-0156,0,0,downloads/FTC-2022-0053-0154_1.pdf,Skipped,200
FTC-2022-0053-0157,0,0,downloads/FTC-2022-0053-0154_1.pdf,Skipped,200
FTC-2022-0053-0158,0,0,downloads/FTC-2022-0053-0154_1.pdf,Skipped,200
FTC-2022-0053-0159,0,0,downloads/FTC-2022-0053-0154_1.pdf,Skipped,200
FTC-2022-0053-0160,1,0,downloads/FTC-2022-0053-0160_1.pdf,Success,
FTC-2022-0053-0161,0,0,downloads/FTC-2022-0053-0160_1.pdf,Skipped,200
FTC-2022-0053-0162,0,0,downloads/FTC-2022-0053-0160_1.pdf,Skipped,200
FTC-2022-0053-0163,1,0,downloads/FTC-2022-0053-0163_1.pdf,Success,
FTC-2022-0053-0164,2,0,downloads/FTC-2022-0053-0164_1.pdf,Success,
FTC-2022-0053-0164,2,1,downloads/FTC-2022-0053-0164_2.pdf,Success,
FTC-2022-0053-0165,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0166,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0167,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0168,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0169,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0170,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0171,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0172,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0173,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0174,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0175,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0176,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0177,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0178,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0179,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
" Enforce the principle of data minimization. Companies use underhand techniques to collect data and then share it with third parties, as well as using it to predict personal behavior and inferring identity. The FTC must impose strict data minimization rules to stop these abusive data practices.

 Protect consumer data. The FTC must require all internet enabled consumer products to employ end-to-end encryption by default. The FTC should also require companies to regularly perform data privacy",0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
